C004  78        SEI                             A:00 X:00 Y:00 P:24 SP:FD PPU: NOT IMPLEMENTED YET
C005  D8        CLD                             A:00 X:00 Y:00 P:24 SP:FD PPU: NOT IMPLEMENTED YET
C006  A2 FF     LDX #$FF                        A:00 X:00 Y:00 P:24 SP:FD PPU: NOT IMPLEMENTED YET
C008  9A        TXS                             A:00 X:FF Y:00 P:A4 SP:FD PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
