C004  78        SEI                             A:00 X:00 Y:00 P:24 SP:FD PPU: NOT IMPLEMENTED YET
C005  D8        CLD                             A:00 X:00 Y:00 P:24 SP:FD PPU: NOT IMPLEMENTED YET
C006  A2 FF     LDX #$FF                        A:00 X:00 Y:00 P:24 SP:FD PPU: NOT IMPLEMENTED YET
C008  9A        TXS                             A:00 X:FF Y:00 P:A4 SP:FD PPU: NOT IMPLEMENTED YET
C009  AD 02 20  LDA $2002 = 80                  A:00 X:FF Y:00 P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C00C  10 FB     BPL $C009                       A:80 X:FF Y:00 P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C00E  AD 02 20  LDA $2002 = 80                  A:80 X:FF Y:00 P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C011  10 FB     BPL $C00E                       A:80 X:FF Y:00 P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C013  A9 00     LDA #$00                        A:80 X:FF Y:00 P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C015  8D 00 20  STA $2000 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C018  8D 01 20  STA $2001 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C01B  8D 05 20  STA $2005 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C01E  8D 05 20  STA $2005 = 00                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C021  AD 02 20  LDA $2002 = 80                  A:00 X:FF Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C024  A2 20     LDX #$20                        A:80 X:FF Y:00 P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C026  8E 06 20  STX $2006 = 00                  A:80 X:20 Y:00 P:24 SP:FF PPU: NOT IMPLEMENTED YET
C029  A2 00     LDX #$00                        A:80 X:20 Y:00 P:24 SP:FF PPU: NOT IMPLEMENTED YET
C02B  8E 06 20  STX $2006 = 00                  A:80 X:00 Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C02E  A2 00     LDX #$00                        A:80 X:00 Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C030  A0 0F     LDY #$0F                        A:80 X:00 Y:00 P:26 SP:FF PPU: NOT IMPLEMENTED YET
C032  A9 00     LDA #$00                        A:80 X:00 Y:0F P:24 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:00 Y:0F P:26 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:00 Y:0F P:26 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:FF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:FF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:FF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:FE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:FE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:FE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:FD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:FD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:FD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:FC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:FC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:FC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:FB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:FB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:FB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:FA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:FA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:FA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:F9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:F9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:F9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:F8 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:F8 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:F8 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:F7 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:F7 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:F7 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:F6 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:F6 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:F6 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:F5 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:F5 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
